number, pin, signal, function, signals
B8, PC12, SPI1.B.MISO, init_pins, PC12/UART3.CTS/I2C1.SDA/SPI1.MISO/ESC0.GPI51/ESC0.GPO12/PPI0.DM2/XPI0.CA_D2/PWM1.P4/TRGM.P12/ESC0.GPI03/QEI1.Z/QEO1.Z/ESC0.CTR3
A8, PC13, SPI1.B.MOSI, init_pins, PC13/GPTMR1.COMP3/UART3.DE/UART3.RTS/I2C1.SCL/SPI1.MOSI/MCAN3.STBY/ESC0.GPI50/ESC0.GPO13/PPI0.DQ18/XPI0.CA_CS1/PWM1.P5/TRGM.P13/ESC0.GPI02/QEI1.A/QEO1.A/ESC0.CTR4
B10, PD00, MCAN0.D.TXD, init_pins, PD00/MCAN0.TXD/ESC0.GPI31/ESC0.GPO32/PPI0.DQ02/PWM0.P0/TRGM.P00/ESC0.REFCK/ESC0.CTR0
B11, PD01, MCAN0.D.RXD, init_pins, PD01/MCAN0.RXD/ESC0.GPI30/ESC0.GPO33/PPI0.DQ03/PWM0.P1/TRGM.P01/ESC0.REFCK/ESC0.CTR1
C10, PD02, PWM0.D.P[2], init_pins, PD02/I2C2.SCL/MCAN0.STBY/ESC0.GPI29/ESC0.GPO34/PPI0.DQ00/PWM0.P2/TRGM.P02/ESC0.SCL/QEI0.H1/EWDG1.RST/ESC0.CTR2
C11, PD03, PWM0.D.P[3], init_pins, PD03/I2C2.SDA/MCAN1.STBY/ESC0.GPI28/ESC0.GPO35/PPI0.DQ01/PWM0.P3/TRGM.P03/ESC0.SDA/QEI0.F/ESC0.CTR3
D9, PD04, PWM0.D.P[4], init_pins, PD04/MCAN1.RXD/ESC0.GPI27/ESC0.GPO36/PPI0.DQ10/PWM0.P4/TRGM.P04/QEI0.H0/ESC0.CTR4
D10, PD05, PWM0.D.P[5], init_pins, PD05/MCAN1.TXD/ESC0.GPI26/ESC0.GPO37/PPI0.DQ13/PWM0.P5/TRGM.P05/QEI0.Z/QEO0.Z/ESC0.CTR5
D11, PD06, PWM0.D.P[6], init_pins, PD06/I2C3.SDA/ESC0.GPI25/ESC0.GPO38/PPI0.DQ14/PWM0.P6/TRGM.P06/QEI0.B/QEO0.B/ESC0.CTR6
E9, PD07, PWM0.D.P[7], init_pins, PD07/I2C3.SCL/ESC0.GPI24/ESC0.GPO39/PPI0.CTR3/PWM0.P7/TRGM.P07/QEI0.A/QEO0.A/ESC0.CTR7
L10, PF02, ETH0.B.TXCK, init_pins, PF02/I2C2.SCL/MCAN0.STBY/ESC0.P1_TXCK/PWM0.P2/TRGM.P02/ETH0.TXCK/QEI0.H1/QEO1.Z/EUI0.CK
J10, PF03, ETH0.B.TXD[0], init_pins, PF03/I2C2.SDA/MCAN1.STBY/ESC0.P1_TXD0/PWM0.P3/TRGM.P03/ETH0.TXD0/QEI0.F/EUI0.SH
H9, PF04, ETH0.B.TXD[1], init_pins, PF04/MCAN1.RXD/ESC0.P1_TXD1/PWM0.P4/TRGM.P04/ETH0.TXD1/QEI0.H0/EUI0.DI
G9, PF05, ETH0.B.TXD[2], init_pins, PF05/MCAN1.TXD/ESC0.P1_TXD2/PWM0.P5/TRGM.P05/ETH0.TXD2/QEI0.Z/QEO0.Z/EUI0.DO
K11, PF06, ETH0.B.TXD[3], init_pins, PF06/I2C3.SDA/ESC0.P1_TXD3/PWM0.P6/TRGM.P06/ETH0.TXD3/QEI0.B/QEO0.B
H11, PF07, ETH0.B.TXEN, init_pins, PF07/I2C3.SCL/ESC0.P1_TXEN/PWM0.P7/TRGM.P07/ETH0.TXEN/QEI0.A/QEO0.A
G11, PF08, ETH0.B.RXDV, init_pins, PF08/I2C0.SCL/MCAN2.TXD/ESC0.P1_RXDV/PWM1.P0/TRGM.P08/ETH0.RXDV/EUI1.CK
H10, PF09, ETH0.B.RXD[0], init_pins, PF09/I2C0.SDA/MCAN2.RXD/ESC0.P1_RXD0/PWM1.P1/TRGM.P09/ETH0.RXD0/EUI1.SH
L9, PF10, ETH0.B.RXD[1], init_pins, PF10/MCAN2.STBY/ESC0.P1_RXD1/PWM1.P2/TRGM.P10/ETH0.RXD1/EUI1.DI
G10, PF11, ETH0.B.RXD[2], init_pins, PF11/ESC0.P1_RXD2/PWM1.P3/TRGM.P11/ETH0.RXD2/EUI1.DO
K10, PF12, ETH0.B.RXD[3], init_pins, PF12/I2C1.SDA/ESC0.P1_RXD3/PWM1.P4/TRGM.P12/ETH0.RXD3/OWR0.DAT
J11, PF13, ETH0.B.RXCK, init_pins, PF13/I2C1.SCL/MCAN3.STBY/ESC0.P1_RXCK/PWM1.P5/TRGM.P13/ETH0.RXCK/OWR1.DAT
K9, PF14, ETH0.B.RXER, init_pins, PF14/MCAN3.RXD/ESC0.P1_RXER/PWM1.P6/TRGM.P14/ETH0.RXER
K6, PF16, ADC0.A.IN08, init_pins, PF16/SDM0.DAT0/ADC0.IN08/ADC1.IN08/ACMP0_CH0.INN7
L7, PF18, ADC0.A.IN11, init_pins, PF18/SDM0.DAT1/USB0.PWR/ETH0.EVTO0/ESC0.EVTO0/ADC0.IN11/ADC1.IN11/ACMP0_CH1.INP7
K5, PF19, ADC0.A.IN13, init_pins, PF19/SDM0.CLK1/USB0.PWR/ADC0.IN13/ADC1.IN13/ACMP0_CH0.INP7
L5, PF20, ADC0.A.IN03, init_pins, PF20/SDM0.DAT3/USB0.OC/ETH0.EVTO1/ESC0.EVTO1/ADC0.IN03/ADC1.IN03/ACMP0_CH0.INP4/ACMP0_CH1.INP4
J8, PF21, ADC0.A.IN02, init_pins, PF21/SDM0.DAT2/USB0.ID/ETH0.EVTI0/ESC0.EVTI0/ADC0.IN02/ADC1.IN02/ACMP0_CH0.INN4/ACMP0_CH1.INN4
L8, PF22, ADC0.A.IN14, init_pins, PF22/SDM0.CLK2/USB0.ID/ETH0.EVTI1/ESC0.EVTI1/ADC0.IN14/ADC1.IN14/ACMP0_CH0.INN5/ACMP0_CH1.INN5
J7, PF23, ADC0.A.IN15, init_pins, PF23/SDM0.CLK3/USB0.OC/ADC0.IN15/ADC1.IN15/ACMP0_CH0.INN3/ACMP0_CH1.INN3
K7, PF24, ADC0.A.IN10, init_pins, PF24/SDM0.DAT0/ADC0.IN10/ADC1.IN10/ACMP0_CH0.INP5/ACMP0_CH1.INP5
L6, PF26, ADC0.A.IN01, init_pins, PF26/SDM0.DAT1/ADC0.IN01/ADC1.IN01/ACMP0_CH0.INN6/ACMP0_CH1.INN6
K8, PF27, ADC0.A.IN00, init_pins, PF27/SDM0.CLK1/ADC0.IN00/ADC1.IN00/ACMP0_CH0.INP6/ACMP0_CH1.INP6
undefined, PV00, ESC0.C.P0_RXDV, init_pins, PV00/ESC0.P0_RXDV/ENET_PHY.PHY0_RXDV
undefined, PV01, ESC0.C.P0_RXD[0], init_pins, PV01/ESC0.P0_RXD0/ENET_PHY.PHY0_RXD0
undefined, PV02, ESC0.C.P0_RXD[1], init_pins, PV02/ESC0.P0_RXD1/ENET_PHY.PHY0_RXD1
undefined, PV03, ESC0.C.P0_RXD[2], init_pins, PV03/ESC0.P0_RXD2/ENET_PHY.PHY0_RXD2
undefined, PV04, ESC0.C.P0_RXD[3], init_pins, PV04/ESC0.P0_RXD3/ENET_PHY.PHY0_RXD3
undefined, PV05, ESC0.C.P0_RXCK, init_pins, PV05/ESC0.P0_RXCK/ENET_PHY.PHY0_RXCLK
undefined, PV06, ESC0.C.P0_TXCK, init_pins, PV06/ESC0.P0_TXCK/ENET_PHY.PHY0_TXCLK
undefined, PV07, ESC0.C.P0_TXD[0], init_pins, PV07/ESC0.P0_TXD0/ENET_PHY.PHY0_TXD0
undefined, PV08, ESC0.C.P0_TXD[1], init_pins, PV08/ESC0.P0_TXD1/ENET_PHY.PHY0_TXD1
undefined, PV09, ESC0.C.P0_TXD[2], init_pins, PV09/ESC0.P0_TXD2/ENET_PHY.PHY0_TXD2
undefined, PV10, ESC0.C.P0_TXD[3], init_pins, PV10/ESC0.P0_TXD3/ENET_PHY.PHY0_TXD3
undefined, PV11, ESC0.C.P0_TXEN, init_pins, PV11/ESC0.P0_TXEN/ENET_PHY.PHY0_TXEN
undefined, PV12, GPIO.A.V[12], init_pins, PV12/ENET_PHY.PHY0_RSTN
undefined, PV15, ESC0.C.P0_RXER, init_pins, PV15/ESC0.P0_RXER/ENET_PHY.PHY0_RXER
undefined, PW00, ESC0.C.P1_RXDV, init_pins, PW00/ESC0.P1_RXDV/ETH0.RXDV/ENET_PHY.PHY1_RXDV
undefined, PW01, ESC0.C.P1_RXD[0], init_pins, PW01/ESC0.P1_RXD0/ETH0.RXD0/ENET_PHY.PHY1_RXD0
undefined, PW02, ESC0.C.P1_RXD[1], init_pins, PW02/ESC0.P1_RXD1/ETH0.RXD1/ENET_PHY.PHY1_RXD1
undefined, PW03, ESC0.C.P1_RXD[2], init_pins, PW03/ESC0.P1_RXD2/ETH0.RXD2/ENET_PHY.PHY1_RXD2
undefined, PW04, ESC0.C.P1_RXD[3], init_pins, PW04/ESC0.P1_RXD3/ETH0.RXD3/ENET_PHY.PHY1_RXD3
undefined, PW05, ESC0.C.P1_RXCK, init_pins, PW05/ESC0.P1_RXCK/ETH0.RXCK/ENET_PHY.PHY1_RXCLK
undefined, PW06, ESC0.C.P1_TXCK, init_pins, PW06/ESC0.P1_TXCK/ETH0.TXCK/ENET_PHY.PHY1_TXCLK
undefined, PW07, ESC0.C.P1_TXD[0], init_pins, PW07/ESC0.P1_TXD0/ETH0.TXD0/ENET_PHY.PHY1_TXD0
undefined, PW08, ESC0.C.P1_TXD[1], init_pins, PW08/ESC0.P1_TXD1/ETH0.TXD1/ENET_PHY.PHY1_TXD1
undefined, PW09, ESC0.C.P1_TXD[2], init_pins, PW09/ESC0.P1_TXD2/ETH0.TXD2/ENET_PHY.PHY1_TXD2
undefined, PW10, ESC0.C.P1_TXD[3], init_pins, PW10/ESC0.P1_TXD3/ETH0.TXD3/ENET_PHY.PHY1_TXD3
undefined, PW11, ESC0.C.P1_TXEN, init_pins, PW11/ESC0.P1_TXEN/ETH0.TXEN/ENET_PHY.PHY1_TXEN
undefined, PW12, GPIO.A.W[12], init_pins, PW12/ENET_PHY.PHY1_RSTN
undefined, PW15, ESC0.C.P1_RXER, init_pins, PW15/ESC0.P1_RXER/ENET_PHY.PHY1_RXER
undefined, PW20, ESC0.C.REFCK, init_pins, PW20/ESC0.REFCK/ENET_PHY.PHY1_XI
undefined, PW21, ESC0.D.REFCK, init_pins, PW21/ESC0.REFCK/ENET_PHY.PHY0_XI
